ticker,date,close_price,peak_price,drawdown_pct
NFLX,2023-03-20,305.13,366.83,-16.82
NFLX,2023-03-21,305.79,366.83,-16.64
NFLX,2023-03-22,293.90,366.83,-19.88
NFLX,2023-03-23,320.37,366.83,-12.67
NFLX,2023-03-24,328.39,366.83,-10.48
NFLX,2023-03-27,327.66,366.83,-10.68
NFLX,2023-03-28,323.52,366.83,-11.81
NFLX,2023-03-29,332.03,366.83,-9.49
NFLX,2023-03-30,338.43,366.83,-7.74
NFLX,2023-03-31,345.48,366.83,-5.82
NFLX,2023-04-03,348.28,366.83,-5.06
NFLX,2023-04-04,346.75,366.83,-5.47
NFLX,2023-04-05,342.35,366.83,-6.67
NFLX,2023-04-06,339.33,366.83,-7.50
NFLX,2023-04-10,338.99,366.83,-7.59
NFLX,2023-04-11,338.21,366.83,-7.80
NFLX,2023-04-12,331.03,366.83,-9.76
NFLX,2023-04-13,346.19,366.83,-5.63
NFLX,2023-04-14,338.63,366.83,-7.69
NFLX,2023-04-17,332.72,366.83,-9.30
NFLX,2023-04-18,333.70,366.83,-9.03
NFLX,2023-04-19,323.12,366.83,-11.92
NFLX,2023-04-20,325.35,366.83,-11.31
NFLX,2023-04-21,327.98,366.83,-10.59
NFLX,2023-04-24,329.02,366.83,-10.31
NFLX,2023-04-25,322.55,366.83,-12.07
NFLX,2023-04-26,321.15,366.83,-12.45
NFLX,2023-04-27,325.85,366.83,-11.17
NFLX,2023-04-28,329.93,366.83,-10.06
NFLX,2023-05-01,324.12,366.83,-11.64
NFLX,2023-05-02,317.55,366.83,-13.43
NFLX,2023-05-03,319.30,366.83,-12.96
NFLX,2023-05-04,320.78,366.83,-12.55
NFLX,2023-05-05,322.76,366.83,-12.01
