ticker,date,close_price,prev_close,daily_return_pct
MSFT,07-03-2023,254.15,256.87,-1.0589
MSFT,08-03-2023,253.7,254.15,-0.1771
MSFT,09-03-2023,252.32,253.7,-0.5439
MSFT,10-03-2023,248.59,252.32,-1.4783
MSFT,13-03-2023,253.92,248.59,2.1441
MSFT,14-03-2023,260.79,253.92,2.7056
MSFT,15-03-2023,265.44,260.79,1.783
MSFT,16-03-2023,276.2,265.44,4.0536
MSFT,17-03-2023,279.43,276.2,1.1694
MSFT,20-03-2023,272.23,279.43,-2.5767
MSFT,21-03-2023,273.78,272.23,0.5694
MSFT,22-03-2023,272.29,273.78,-0.5442
MSFT,23-03-2023,277.66,272.29,1.9722
MSFT,24-03-2023,280.57,277.66,1.048
MSFT,27-03-2023,276.38,280.57,-1.4934
MSFT,28-03-2023,275.23,276.38,-0.4161
MSFT,29-03-2023,280.51,275.23,1.9184
MSFT,30-03-2023,284.05,280.51,1.262
MSFT,31-03-2023,288.3,284.05,1.4962
MSFT,03-04-2023,287.23,288.3,-0.3711
MSFT,04-04-2023,287.18,287.23,-0.0174
MSFT,05-04-2023,284.34,287.18,-0.9889
MSFT,06-04-2023,291.6,284.34,2.5533
MSFT,10-04-2023,289.39,291.6,-0.7579
MSFT,11-04-2023,282.83,289.39,-2.2668
MSFT,12-04-2023,283.49,282.83,0.2334
MSFT,13-04-2023,289.84,283.49,2.2399
MSFT,14-04-2023,286.14,289.84,-1.2766
MSFT,17-04-2023,288.8,286.14,0.9296
MSFT,18-04-2023,288.37,288.8,-0.1489
MSFT,19-04-2023,288.45,288.37,0.0277
MSFT,20-04-2023,286.11,288.45,-0.8112
MSFT,21-04-2023,285.76,286.11,-0.1223
MSFT,24-04-2023,281.77,285.76,-1.3963
MSFT,25-04-2023,275.42,281.77,-2.2536
MSFT,26-04-2023,295.37,275.42,7.2435
MSFT,27-04-2023,304.83,295.37,3.2028
MSFT,28-04-2023,307.26,304.83,0.7972
MSFT,01-05-2023,305.56,307.26,-0.5533
MSFT,02-05-2023,305.41,305.56,-0.0491
MSFT,03-05-2023,304.4,305.41,-0.3307
MSFT,04-05-2023,305.41,304.4,0.3318
MSFT,05-05-2023,310.65,305.41,1.7157
NFLX,07-02-2023,362.95,0,0
NFLX,08-02-2023,366.83,362.95,1.069
NFLX,09-02-2023,362.5,366.83,-1.1804
NFLX,10-02-2023,347.36,362.5,-4.1766
NFLX,13-02-2023,358.57,347.36,3.2272
NFLX,14-02-2023,359.96,358.57,0.3877
NFLX,15-02-2023,361.42,359.96,0.4056
NFLX,16-02-2023,350.71,361.42,-2.9633
NFLX,17-02-2023,347.96,350.71,-0.7841
NFLX,21-02-2023,337.5,347.96,-3.0061
NFLX,22-02-2023,334.88,337.5,-0.7763
NFLX,23-02-2023,323.65,334.88,-3.3534
NFLX,24-02-2023,317.15,323.65,-2.0083
NFLX,27-02-2023,323.03,317.15,1.854
NFLX,28-02-2023,322.13,323.03,-0.2786
NFLX,01-03-2023,313.48,322.13,-2.6853
NFLX,02-03-2023,311.88,313.48,-0.5104
